DATE,COUNTRY,SERIES,VALUE
1998,CHN,IM (% of GDP),14.0823746877505
1999,CHN,IM (% of GDP),15.3618705728248
2000,CHN,IM (% of GDP),18.5170939709101
2001,CHN,IM (% of GDP),18.2152135311025
2002,CHN,IM (% of GDP),20.1026579597863
2003,CHN,IM (% of GDP),24.823231465803
2004,CHN,IM (% of GDP),28.4441866417059
2005,CHN,IM (% of GDP),28.3780352999888
2006,CHN,IM (% of GDP),28.4438583515049
2007,CHN,IM (% of GDP),26.7585672977326
2008,CHN,IM (% of GDP),25.0100023270108
2009,CHN,IM (% of GDP),20.4350170039946
2010,CHN,IM (% of GDP),23.531742418345
2011,CHN,IM (% of GDP),24.1727142766675
2012,CHN,IM (% of GDP),22.7749981752015
2013,CHN,IM (% of GDP),22.1451222440111
2014,CHN,IM (% of GDP),21.4713066389347
2015,CHN,IM (% of GDP),18.1857333347036
2016,CHN,IM (% of GDP),17.4581934027583
2017,CHN,IM (% of GDP),18.1867317465469
2018,CHN,IM (% of GDP),18.7313138032856
2019,CHN,IM (% of GDP),
1960,CHN,IM (BOP US$),
1961,CHN,IM (BOP US$),
1962,CHN,IM (BOP US$),
1963,CHN,IM (BOP US$),
1964,CHN,IM (BOP US$),
1965,CHN,IM (BOP US$),
1966,CHN,IM (BOP US$),
1967,CHN,IM (BOP US$),
1968,CHN,IM (BOP US$),
1969,CHN,IM (BOP US$),
1970,CHN,IM (BOP US$),
1971,CHN,IM (BOP US$),
1972,CHN,IM (BOP US$),
1973,CHN,IM (BOP US$),
1974,CHN,IM (BOP US$),
1975,CHN,IM (BOP US$),
1976,CHN,IM (BOP US$),
1977,CHN,IM (BOP US$),
1978,CHN,IM (BOP US$),
1979,CHN,IM (BOP US$),
1980,CHN,IM (BOP US$),
1981,CHN,IM (BOP US$),
1982,CHN,IM (BOP US$),18900000000
1983,CHN,IM (BOP US$),20711000000
1984,CHN,IM (BOP US$),26748000000
1985,CHN,IM (BOP US$),40755000000
1986,CHN,IM (BOP US$),37172000000
1987,CHN,IM (BOP US$),38880000000
1988,CHN,IM (BOP US$),49972000000
1989,CHN,IM (BOP US$),52750000000
1990,CHN,IM (BOP US$),46706000000
1991,CHN,IM (BOP US$),54297000000
1992,CHN,IM (BOP US$),73819000000
1993,CHN,IM (BOP US$),98349000000
1994,CHN,IM (BOP US$),111570000000
1995,CHN,IM (BOP US$),135282400000
1996,CHN,IM (BOP US$),154127000000
1997,CHN,IM (BOP US$),97709000000
1998,CHN,IM (BOP US$),97527000000
1999,CHN,IM (BOP US$),119243000000
2000,CHN,IM (BOP US$),161165850000
2001,CHN,IM (BOP US$),180488000000
2002,CHN,IM (BOP US$),210243368881.429
2003,CHN,IM (BOP US$),410155077194.32
2004,CHN,IM (BOP US$),553600330539.767
2005,CHN,IM (BOP US$),648712207879.776
2006,CHN,IM (BOP US$),782812463259.899
2007,CHN,IM (BOP US$),949016596646.332
2008,CHN,IM (BOP US$),1146484468067.72
2009,CHN,IM (BOP US$),1029593130340
2010,CHN,IM (BOP US$),1380920299730.48
2011,CHN,IM (BOP US$),1826948709574.79
2012,CHN,IM (BOP US$),1943247135628.37
2013,CHN,IM (BOP US$),2120215176193.99
2014,CHN,IM (BOP US$),2241602783713.84
2015,CHN,IM (BOP US$),2002281688027.83
2016,CHN,IM (BOP US$),1942185380887.41
2017,CHN,IM (BOP US$),2212267456271.44
2018,CHN,IM (BOP US$),2548088137359.07
2019,CHN,IM (BOP US$),
1960,CHN,GDP PC ,192.285058151673
1961,CHN,GDP PC ,141.276363216785
1962,CHN,GDP PC ,132.303188135004
1963,CHN,GDP PC ,142.387673793135
1964,CHN,GDP PC ,164.41361652984
1965,CHN,GDP PC ,187.756879322364
1966,CHN,GDP PC ,202.042181114881
1967,CHN,GDP PC ,185.552513381584
1968,CHN,GDP PC ,173.359019735345
1969,CHN,GDP PC ,197.246749080946
1970,CHN,GDP PC ,228.90563989986
1971,CHN,GDP PC ,238.426228808754
1972,CHN,GDP PC ,241.502179818484
1973,CHN,GDP PC ,254.367708574393
1974,CHN,GDP PC ,254.922244588875
1975,CHN,GDP PC ,272.298867735992
1976,CHN,GDP PC ,263.908462856871
1977,CHN,GDP PC ,280.043830693448
1978,CHN,GDP PC ,307.08736374722
1979,CHN,GDP PC ,326.047625691632
1980,CHN,GDP PC ,347.120087871446
1981,CHN,GDP PC ,360.427967795046
1982,CHN,GDP PC ,386.890341740908
1983,CHN,GDP PC ,422.659190889165
1984,CHN,GDP PC ,480.302863849621
1985,CHN,GDP PC ,537.502652552483
1986,CHN,GDP PC ,576.908756619229
1987,CHN,GDP PC ,634.092911038278
1988,CHN,GDP PC ,694.064791777426
1989,CHN,GDP PC ,712.115363325364
1990,CHN,GDP PC ,729.160645387843
1991,CHN,GDP PC ,786.129658834727
1992,CHN,GDP PC ,886.950358931776
1993,CHN,GDP PC ,998.404789343151
1994,CHN,GDP PC ,1116.03253544563
1995,CHN,GDP PC ,1224.8488213975
1996,CHN,GDP PC ,1332.4173094283
1997,CHN,GDP PC ,1440.59024983409
1998,CHN,GDP PC ,1538.66284389771
1999,CHN,GDP PC ,1642.35748775728
2000,CHN,GDP PC ,1767.83362700858
2001,CHN,GDP PC ,1901.40762975195
2002,CHN,GDP PC ,2061.16228377566
2003,CHN,GDP PC ,2253.92968857986
2004,CHN,GDP PC ,2467.13284333364
2005,CHN,GDP PC ,2732.16587968884
2006,CHN,GDP PC ,3062.53490453063
2007,CHN,GDP PC ,3480.15272549424
2008,CHN,GDP PC ,3796.63336331896
2009,CHN,GDP PC ,4132.90231241877
2010,CHN,GDP PC ,4550.45359583857
2011,CHN,GDP PC ,4961.23468857388
2012,CHN,GDP PC ,5325.1601061666
2013,CHN,GDP PC ,5710.5878733775
2014,CHN,GDP PC ,6096.48781698006
2015,CHN,GDP PC ,6484.43594759644
2016,CHN,GDP PC ,6883.89542488146
2017,CHN,GDP PC ,7308.06536597714
2018,CHN,GDP PC ,7752.5595253168
2019,CHN,GDP PC ,
1960,CHN,CA (% of GDP),
1961,CHN,CA (% of GDP),
1962,CHN,CA (% of GDP),
1963,CHN,CA (% of GDP),
1964,CHN,CA (% of GDP),
1965,CHN,CA (% of GDP),
1966,CHN,CA (% of GDP),
1967,CHN,CA (% of GDP),
1968,CHN,CA (% of GDP),
1969,CHN,CA (% of GDP),
1970,CHN,CA (% of GDP),
1971,CHN,CA (% of GDP),
1972,CHN,CA (% of GDP),
1973,CHN,CA (% of GDP),
1974,CHN,CA (% of GDP),
1975,CHN,CA (% of GDP),
1976,CHN,CA (% of GDP),
1977,CHN,CA (% of GDP),
1978,CHN,CA (% of GDP),
1979,CHN,CA (% of GDP),
1980,CHN,CA (% of GDP),
1981,CHN,CA (% of GDP),
1982,CHN,CA (% of GDP),2.76659432624214
1983,CHN,CA (% of GDP),1.83799028436738
1984,CHN,CA (% of GDP),0.7809298892012
1985,CHN,CA (% of GDP),-3.68899568389975
1986,CHN,CA (% of GDP),-2.33875662783206
1987,CHN,CA (% of GDP),0.109900989377698
1988,CHN,CA (% of GDP),-1.21721011703892
1989,CHN,CA (% of GDP),-1.24134462142706
1990,CHN,CA (% of GDP),3.3245772317122
1991,CHN,CA (% of GDP),3.46189976557133
1992,CHN,CA (% of GDP),1.49935919653793
1993,CHN,CA (% of GDP),-2.61034032424978
1994,CHN,CA (% of GDP),1.22411802410261
1995,CHN,CA (% of GDP),0.220324638314351
1996,CHN,CA (% of GDP),0.838556008748969
1997,CHN,CA (% of GDP),3.84389018852671
1998,CHN,CA (% of GDP),3.05837530758482
1999,CHN,CA (% of GDP),1.93007794733077
2000,CHN,CA (% of GDP),1.69384860066437
2001,CHN,CA (% of GDP),1.29916795722937
2002,CHN,CA (% of GDP),2.4087584656332
2003,CHN,CA (% of GDP),2.59301902752458
2004,CHN,CA (% of GDP),3.52576604119722
2005,CHN,CA (% of GDP),5.79092164974088
2006,CHN,CA (% of GDP),8.42412573805547
2007,CHN,CA (% of GDP),9.94784826180858
2008,CHN,CA (% of GDP),9.15412335283557
2009,CHN,CA (% of GDP),4.76814496964165
2010,CHN,CA (% of GDP),3.906751469205
2011,CHN,CA (% of GDP),1.80224794950967
2012,CHN,CA (% of GDP),2.52444822969913
2013,CHN,CA (% of GDP),1.54856495759896
2014,CHN,CA (% of GDP),2.2613011316869
2015,CHN,CA (% of GDP),2.7612298687667
2016,CHN,CA (% of GDP),1.81544631191789
2017,CHN,CA (% of GDP),1.60675922029284
2018,CHN,CA (% of GDP),0.360751326538706
2019,CHN,CA (% of GDP),
1960,CHN,REER 2010,
1961,CHN,REER 2010,
1962,CHN,REER 2010,
1963,CHN,REER 2010,
1964,CHN,REER 2010,
1965,CHN,REER 2010,
1966,CHN,REER 2010,
1967,CHN,REER 2010,
1968,CHN,REER 2010,
1969,CHN,REER 2010,
1970,CHN,REER 2010,
1971,CHN,REER 2010,
1972,CHN,REER 2010,
1973,CHN,REER 2010,
1974,CHN,REER 2010,
1975,CHN,REER 2010,
1976,CHN,REER 2010,
1977,CHN,REER 2010,
1978,CHN,REER 2010,
1979,CHN,REER 2010,
1980,CHN,REER 2010,269.734011844393
1981,CHN,REER 2010,242.085631779984
1982,CHN,REER 2010,230.953775513035
1983,CHN,REER 2010,227.013510322966
1984,CHN,REER 2010,202.337117452303
1985,CHN,REER 2010,171.750995572598
1986,CHN,REER 2010,124.07542894809
1987,CHN,REER 2010,107.184945904514
1988,CHN,REER 2010,117.166655772807
1989,CHN,REER 2010,136.314153728588
1990,CHN,REER 2010,100.536680607042
1991,CHN,REER 2010,88.3053236811465
1992,CHN,REER 2010,84.5451680808264
1993,CHN,REER 2010,89.9619360275079
1994,CHN,REER 2010,70.5236340364264
1995,CHN,REER 2010,78.604144043709
1996,CHN,REER 2010,86.3570227170393
1997,CHN,REER 2010,93.0111477280495
1998,CHN,REER 2010,98.0002751316354
1999,CHN,REER 2010,92.676323449024
2000,CHN,REER 2010,92.758801427184
2001,CHN,REER 2010,96.7652237535995
2002,CHN,REER 2010,94.5546906634727
2003,CHN,REER 2010,88.38004703216
2004,CHN,REER 2010,85.8458522854526
2005,CHN,REER 2010,84.9191452963836
2006,CHN,REER 2010,86.2549128417302
2007,CHN,REER 2010,89.3304699088065
2008,CHN,REER 2010,97.0237091816571
2009,CHN,REER 2010,101.111266970444
2010,CHN,REER 2010,100
2011,CHN,REER 2010,102.724457886481
2012,CHN,REER 2010,108.706535250099
2013,CHN,REER 2010,114.637616652858
2014,CHN,REER 2010,118.336762615722
2015,CHN,REER 2010,129.947591435766
2016,CHN,REER 2010,123.622354940356
2017,CHN,REER 2010,120.060386169197
2018,CHN,REER 2010,121.673616893764
2019,CHN,REER 2010,
1960,CHN,NT US$,
1961,CHN,NT US$,
1962,CHN,NT US$,
1963,CHN,NT US$,
1964,CHN,NT US$,
1965,CHN,NT US$,
1966,CHN,NT US$,
1967,CHN,NT US$,
1968,CHN,NT US$,
1969,CHN,NT US$,
1970,CHN,NT US$,
1971,CHN,NT US$,
1972,CHN,NT US$,
1973,CHN,NT US$,
1974,CHN,NT US$,
1975,CHN,NT US$,
1976,CHN,NT US$,
1977,CHN,NT US$,
1978,CHN,NT US$,
1979,CHN,NT US$,
1980,CHN,NT US$,
1981,CHN,NT US$,
1982,CHN,NT US$,4737000000
1983,CHN,NT US$,2475000000
1984,CHN,NT US$,-32000000
1985,CHN,NT US$,-12592000000
1986,CHN,NT US$,-7589000000
1987,CHN,NT US$,291000000
1988,CHN,NT US$,-4060000000
1989,CHN,NT US$,-4927000000
1990,CHN,NT US$,10668000000
1991,CHN,NT US$,11601000000
1992,CHN,NT US$,4998000000
1993,CHN,NT US$,-11497000000
1994,CHN,NT US$,7611000000
1995,CHN,NT US$,11957590000
1996,CHN,NT US$,17551000000
1997,CHN,NT US$,42824000000
1998,CHN,NT US$,43837000000
1999,CHN,NT US$,30641000000
2000,CHN,NT US$,28873534000
2001,CHN,NT US$,28084000000
2002,CHN,NT US$,37383087664.0194
2003,CHN,NT US$,35821129066.2935
2004,CHN,NT US$,51174382539.95
2005,CHN,NT US$,124626797517.211
2006,CHN,NT US$,208918924500.594
2007,CHN,NT US$,308036028783.353
2008,CHN,NT US$,348832533153.933
2009,CHN,NT US$,220130401366.781
2010,CHN,NT US$,223023871712.8
2011,CHN,NT US$,181903738912.674
2012,CHN,NT US$,231844876748.002
2013,CHN,NT US$,235379561604.117
2014,CHN,NT US$,221299246947.273
2015,CHN,NT US$,357870764281.273
2016,CHN,NT US$,255737088242.151
2017,CHN,NT US$,217009899933.947
2018,CHN,NT US$,102921464809.831
2019,CHN,NT US$,
1960,SA,EX (% of GDP),29.5509148031787
1961,SA,EX (% of GDP),29.3239683933275
1962,SA,EX (% of GDP),29.4069192751236
1963,SA,EX (% of GDP),28.6138760956767
1964,SA,EX (% of GDP),27.4358974358974
1965,SA,EX (% of GDP),25.7040513833992
1966,SA,EX (% of GDP),25.2804532577904
1967,SA,EX (% of GDP),24.5706737120211
1968,SA,EX (% of GDP),25.2467337155748
1969,SA,EX (% of GDP),23.0018354747205
1970,SA,EX (% of GDP),21.1994527211919
1971,SA,EX (% of GDP),21.2748401292718
1972,SA,EX (% of GDP),24.631502009989
1973,SA,EX (% of GDP),24.6237088047221
1974,SA,EX (% of GDP),27.1611355457817
1975,SA,EX (% of GDP),26.8431136024977
1976,SA,EX (% of GDP),26.884287913538
1977,SA,EX (% of GDP),29.3077597668958
1978,SA,EX (% of GDP),31.3854784341707
1979,SA,EX (% of GDP),34.1663404684893
1980,SA,EX (% of GDP),34.3411524416662
1981,SA,EX (% of GDP),27.4705639192991
1982,SA,EX (% of GDP),25.6185924160041
1983,SA,EX (% of GDP),23.9562583427457
1984,SA,EX (% of GDP),24.6880039262427
1985,SA,EX (% of GDP),30.4421458732039
1986,SA,EX (% of GDP),29.601591817952
1987,SA,EX (% of GDP),29.3086908544464
1988,SA,EX (% of GDP),28.1882420360383
1989,SA,EX (% of GDP),25.8672601125802
1990,SA,EX (% of GDP),23.4949209120617
1991,SA,EX (% of GDP),21.0980437990329
1992,SA,EX (% of GDP),20.7037368101469
1993,SA,EX (% of GDP),21.8251291913125
1994,SA,EX (% of GDP),21.4741865212511
1995,SA,EX (% of GDP),22.1355986308901
1996,SA,EX (% of GDP),24.0802633424255
1997,SA,EX (% of GDP),23.987330700296
1998,SA,EX (% of GDP),25.0050547621111
1999,SA,EX (% of GDP),24.6952092415361
2000,SA,EX (% of GDP),27.1588800453122
2001,SA,EX (% of GDP),29.3748279395571
2002,SA,EX (% of GDP),31.7808365475061
2003,SA,EX (% of GDP),26.8850611646399
2004,SA,EX (% of GDP),25.467096205328
2005,SA,EX (% of GDP),26.4466641533283
2006,SA,EX (% of GDP),29.2738936609764
2007,SA,EX (% of GDP),31.1738505106893
2008,SA,EX (% of GDP),35.6224380693971
2009,SA,EX (% of GDP),27.9118881737959
2010,SA,EX (% of GDP),28.6152333781659
2011,SA,EX (% of GDP),30.4609405932431
2012,SA,EX (% of GDP),29.7238793583952
2013,SA,EX (% of GDP),30.9713411232732
2014,SA,EX (% of GDP),31.4686452082634
2015,SA,EX (% of GDP),30.152888329641
2016,SA,EX (% of GDP),30.5809279982382
2017,SA,EX (% of GDP),29.6276693701772
2018,SA,EX (% of GDP),29.9070826047072
2019,SA,EX (% of GDP),
1960,SA,EX (constant 2010 US$),27666502759.1105
1961,SA,EX (constant 2010 US$),29623832158.6625
1962,SA,EX (constant 2010 US$),32132437305.3598
1963,SA,EX (constant 2010 US$),34582445500.7376
1964,SA,EX (constant 2010 US$),36289132929.028
1965,SA,EX (constant 2010 US$),37400426159.646
1966,SA,EX (constant 2010 US$),37912773862.2084
1967,SA,EX (constant 2010 US$),39738021089.4389
1968,SA,EX (constant 2010 US$),41387204283.4508
1969,SA,EX (constant 2010 US$),41703819046.058
1970,SA,EX (constant 2010 US$),42845708353.8218
1971,SA,EX (constant 2010 US$),44166120308.1462
1972,SA,EX (constant 2010 US$),45491312899.5247
1973,SA,EX (constant 2010 US$),43134322242.2554
1974,SA,EX (constant 2010 US$),41024149046.6044
1975,SA,EX (constant 2010 US$),40548543954.543
1976,SA,EX (constant 2010 US$),42291973993.3344
1977,SA,EX (constant 2010 US$),44238239632.8471
1978,SA,EX (constant 2010 US$),45696743703.2181
1979,SA,EX (constant 2010 US$),46537862645.468
1980,SA,EX (constant 2010 US$),46536496749.1668
1981,SA,EX (constant 2010 US$),44045375075.1243
1982,SA,EX (constant 2010 US$),42880402119.8711
1983,SA,EX (constant 2010 US$),42310686772.6602
1984,SA,EX (constant 2010 US$),43438780527.7823
1985,SA,EX (constant 2010 US$),47816204993.7169
1986,SA,EX (constant 2010 US$),46051466972.6275
1987,SA,EX (constant 2010 US$),48192509424.6845
1988,SA,EX (constant 2010 US$),52129842102.3876
1989,SA,EX (constant 2010 US$),53266814183.4672
1990,SA,EX (constant 2010 US$),53035704529.3121
1991,SA,EX (constant 2010 US$),52216166748.6205
1992,SA,EX (constant 2010 US$),55083183084.7402
1993,SA,EX (constant 2010 US$),60800278642.8454
1994,SA,EX (constant 2010 US$),62311369720.8108
1995,SA,EX (constant 2010 US$),69127055673.9332
1996,SA,EX (constant 2010 US$),74106976998.3063
1997,SA,EX (constant 2010 US$),78031060481.8882
1998,SA,EX (constant 2010 US$),80564115172.3761
1999,SA,EX (constant 2010 US$),81580068841.1736
2000,SA,EX (constant 2010 US$),88362426924.5479
2001,SA,EX (constant 2010 US$),90476834398.7324
2002,SA,EX (constant 2010 US$),91371769655.2478
2003,SA,EX (constant 2010 US$),91471753264.4922
2004,SA,EX (constant 2010 US$),94063541495.9296
2005,SA,EX (constant 2010 US$),102122602851.991
2006,SA,EX (constant 2010 US$),109743621264.274
2007,SA,EX (constant 2010 US$),118334699229.634
2008,SA,EX (constant 2010 US$),120168688193.192
2009,SA,EX (constant 2010 US$),99711386111.5664
2010,SA,EX (constant 2010 US$),107407119051.522
2011,SA,EX (constant 2010 US$),111162287343.605
2012,SA,EX (constant 2010 US$),112044784379.61
2013,SA,EX (constant 2010 US$),116510075684.314
2014,SA,EX (constant 2010 US$),120677078539.037
2015,SA,EX (constant 2010 US$),124207097197.181
2016,SA,EX (constant 2010 US$),124644320603.18
2017,SA,EX (constant 2010 US$),123736272742.173
2018,SA,EX (constant 2010 US$),126999945364.148
2019,SA,EX (constant 2010 US$),
1960,SA,EX (BoP. current US$),2238599105.4558
1961,SA,EX (BoP. current US$),2337999065.73557
1962,SA,EX (BoP. current US$),2498999001.4
1963,SA,EX (BoP. current US$),2696398922.51899
1964,SA,EX (BoP. current US$),2846198862.65893
1965,SA,EX (BoP. current US$),2913398835.80582
1966,SA,EX (BoP. current US$),3123398751.88986
1967,SA,EX (BoP. current US$),3385198647.27462
1968,SA,EX (BoP. current US$),3760398497.34476
1969,SA,EX (BoP. current US$),3859798457.62453
1970,SA,EX (BoP. current US$),3904598439.72246
1971,SA,EX (BoP. current US$),4325492163.13433
1972,SA,EX (BoP. current US$),5254926553.11979
1973,SA,EX (BoP. current US$),7230920097.51479
1974,SA,EX (BoP. current US$),9996662197.19107
1975,SA,EX (BoP. current US$),10323214081.4409
1976,SA,EX (BoP. current US$),9840549991.443
1977,SA,EX (BoP. current US$),11913999989.64
1978,SA,EX (BoP. current US$),14670549987.243
1979,SA,EX (BoP. current US$),19719170174.3075
1980,SA,EX (BoP. current US$),28501651956.2234
1981,SA,EX (BoP. current US$),23621057036.358
1982,SA,EX (BoP. current US$),20081946595.1331
1983,SA,EX (BoP. current US$),20979586793.132
1984,SA,EX (BoP. current US$),19302453655.9364
1985,SA,EX (BoP. current US$),18030792412.1542
1986,SA,EX (BoP. current US$),19959939848.3875
1987,SA,EX (BoP. current US$),25978095715.3321
1988,SA,EX (BoP. current US$),26798100048.2563
1989,SA,EX (BoP. current US$),25591574580.9092
1990,SA,EX (BoP. current US$),27160238991.0116
1991,SA,EX (BoP. current US$),26126023104.4514
1992,SA,EX (BoP. current US$),27893270926.0938
1993,SA,EX (BoP. current US$),29294867480.1148
1994,SA,EX (BoP. current US$),30001242104.1358
1995,SA,EX (BoP. current US$),34402137132.153
1996,SA,EX (BoP. current US$),35495118245.5534
1997,SA,EX (BoP. current US$),36561083234.6058
1998,SA,EX (BoP. current US$),34594731512.5752
1999,SA,EX (BoP. current US$),33743869641.6984
2000,SA,EX (BoP. current US$),36995346355.1396
2001,SA,EX (BoP. current US$),35908902855.2168
2002,SA,EX (BoP. current US$),36882385813.7096
2003,SA,EX (BoP. current US$),47358893128.4732
2004,SA,EX (BoP. current US$),58436025841.5874
2005,SA,EX (BoP. current US$),68089718597.9658
2006,SA,EX (BoP. current US$),79216650333.4359
2007,SA,EX (BoP. current US$),93531189535.2176
2008,SA,EX (BoP. current US$),103029506544.161
2009,SA,EX (BoP. current US$),83756723460.5116
2010,SA,EX (BoP. current US$),107735282477.838
2011,SA,EX (BoP. current US$),126865798282.628
2012,SA,EX (BoP. current US$),117846262079.468
